Goal,Diet Type,Workout Type,Day,Meal Type,Recipe,Calories (kcal),Protein (g),Carbs (g),Fats (g),Exercise Plan,Instruction,Beauty Goal,Beauty Drink Recommendation,Beauty Food Focus,Beauty Care Instruction,,,url
Weight Gain,Non-Vegetarian,Gym,Day 13,Dinner,Fish Curry,622,13.9,40.1,19.8,HIIT,Weight Gain focused training,Reduce Pimples,Beetroot juice,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 10,Lunch,Fish Curry,495,20.1,54.7,14.4,Strength Training,Weight Gain focused training,Reduce Pimples,Carrot juice,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 17,Lunch,Lentil Soup,314,20,42.3,17.7,Yoga,Weight Loss focused training,Reduce Pimples,Green tea,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 23,Breakfast,Tofu Stir Fry,390,20.5,49.3,16.2,Stretching,Weight Maintain focused training,Clear Skin,Turmeric milk,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 3,Dinner,Dal & Rice,492,27.6,23.7,18.7,HIIT,Weight Loss focused training,Reduce Pimples,Green tea,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 14,Breakfast,Tofu Stir Fry,416,43.3,65.8,26.6,Strength Training,Weight Gain focused training,Anti-Aging,Coconut water,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 1,Snack,Fish Curry,402,26.1,66.4,24.4,Stretching,Weight Loss focused training,Fresh Blood Circulation,Beetroot juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 19,Snack,Tofu Stir Fry,291,11.5,24.6,14.8,Stretching,Weight Maintain focused training,Glowing Skin,Beetroot juice,Leafy greens,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 29,Breakfast,Egg Omelette,715,20.4,61.6,22.2,Stretching,Weight Maintain focused training,Glowing Skin,Carrot juice,Leafy greens,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 29,Snack,Paneer Bowl,315,16.6,32.8,15.7,Yoga,Weight Loss focused training,Fresh Blood Circulation,Carrot juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 12,Snack,Paneer Bowl,331,23.3,43.7,24.7,HIIT,Weight Gain focused training,Anti-Aging,Green tea,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 30,Breakfast,Grilled Chicken Salad,399,28.2,88.4,19.6,Strength Training,Weight Gain focused training,Anti-Aging,Beetroot juice,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 15,Dinner,Dal & Rice,436,33.9,34.4,9,Cardio,Weight Maintain focused training,Reduce Pimples,Warm lemon water,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 29,Breakfast,Dal & Rice,489,19.8,25.8,23.2,Yoga,Weight Gain focused training,Clear Skin,Green tea,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 4,Snack,Fish Curry,424,34.8,41.9,14.4,HIIT,Weight Gain focused training,Hair Growth,Amla juice,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Gym,Day 14,Breakfast,Quinoa Salad,286,39.9,87.2,15.2,HIIT,Weight Maintain focused training,Clear Skin,Beetroot juice,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 27,Snack,Veg Khichdi,718,23.7,59.4,13.5,Yoga,Weight Loss focused training,Glowing Skin,Carrot juice,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 1,Breakfast,Oats & Fruits,498,32.4,64.5,22.5,Yoga,Weight Loss focused training,Hair Growth,Carrot juice,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 20,Dinner,Fish Curry,691,23.7,29.5,9.5,Yoga,Weight Loss focused training,Fresh Blood Circulation,Amla juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 17,Snack,Chicken Rice,493,27.4,79,9.8,Stretching,Weight Gain focused training,Fresh Blood Circulation,Beetroot juice,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 22,Lunch,Chickpea Salad,430,10.6,68,19.5,Yoga,Weight Gain focused training,Reduce Pimples,Warm lemon water,Fruits & vegetables,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 7,Dinner,Chicken Rice,416,34,60.3,10.7,Yoga,Weight Loss focused training,Clear Skin,Coconut water,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 5,Breakfast,Lentil Soup,475,39,72.7,21.5,Yoga,Weight Maintain focused training,Clear Skin,Green tea,Nuts & seeds,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 21,Snack,Veg Khichdi,286,33.5,29.1,20.8,Yoga,Weight Loss focused training,Fresh Blood Circulation,Green tea,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Hybrid,Day 22,Snack,Egg Omelette,697,45,46.2,27,Strength Training,Weight Maintain focused training,Hair Growth,Coconut water,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Gym,Day 30,Dinner,Quinoa Salad,492,27.7,41.6,13.3,Cardio,Weight Maintain focused training,Glowing Skin,Green tea,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 23,Dinner,Quinoa Salad,276,30.8,50.8,13.2,HIIT,Weight Loss focused training,Glowing Skin,Coconut water,Fruits & vegetables,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 2,Snack,Chicken Rice,300,30.5,60.5,29.2,Stretching,Weight Loss focused training,Reduce Pimples,Green tea,Leafy greens,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 8,Snack,Dal & Rice,416,42.2,65.6,19.9,Strength Training,Weight Loss focused training,Clear Skin,Amla juice,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 8,Lunch,Dal & Rice,523,22.8,43.5,7.1,Strength Training,Weight Maintain focused training,Glowing Skin,Warm lemon water,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 12,Breakfast,Quinoa Salad,559,42,54.4,21.6,Cardio,Weight Gain focused training,Hair Growth,Turmeric milk,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 2,Lunch,Egg Omelette,681,27.5,55.2,6.2,Strength Training,Weight Loss focused training,Reduce Pimples,Coconut water,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 8,Lunch,Quinoa Salad,678,19.2,22.1,21.1,Cardio,Weight Loss focused training,Glowing Skin,Green tea,Nuts & seeds,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 14,Snack,Egg Omelette,740,44.3,64.4,5.6,Yoga,Weight Loss focused training,Reduce Pimples,Amla juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 17,Dinner,Lentil Soup,503,30.9,73.2,10.4,Cardio,Weight Maintain focused training,Hair Growth,Carrot juice,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 7,Snack,Chickpea Salad,392,21.5,82,24.3,Strength Training,Weight Loss focused training,Anti-Aging,Coconut water,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 29,Snack,Fish Curry,675,15,62.5,25.9,Strength Training,Weight Gain focused training,Anti-Aging,Carrot juice,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 11,Breakfast,Tofu Stir Fry,709,33.8,35.9,13.9,HIIT,Weight Maintain focused training,Reduce Pimples,Turmeric milk,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 30,Dinner,Grilled Chicken Salad,743,18.8,84.1,28.1,Cardio,Weight Maintain focused training,Reduce Pimples,Turmeric milk,Nuts & seeds,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 9,Lunch,Dal & Rice,614,23,75.9,5.9,HIIT,Weight Loss focused training,Anti-Aging,Coconut water,Leafy greens,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 15,Dinner,Oats & Fruits,379,22.5,62.1,22.6,HIIT,Weight Loss focused training,Hair Growth,Amla juice,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 2,Breakfast,Fish Curry,312,10.9,85.1,26.2,Strength Training,Weight Gain focused training,Clear Skin,Green tea,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 20,Breakfast,Vegan Smoothie,513,34.8,67.6,18.4,Cardio,Weight Gain focused training,Anti-Aging,Coconut water,Fruits & vegetables,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 7,Snack,Egg Omelette,279,12.8,56.8,27.7,Strength Training,Weight Loss focused training,Clear Skin,Green tea,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 13,Dinner,Grilled Chicken Salad,695,39.4,32.7,21,Strength Training,Weight Loss focused training,Glowing Skin,Warm lemon water,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 12,Dinner,Quinoa Salad,299,36.2,28.8,19.6,Strength Training,Weight Gain focused training,Anti-Aging,Coconut water,Omega-3 rich foods,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 24,Dinner,Dal & Rice,710,21.6,31.7,28.9,Cardio,Weight Maintain focused training,Fresh Blood Circulation,Turmeric milk,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 23,Breakfast,Chickpea Salad,366,11.7,29.8,19.9,Cardio,Weight Loss focused training,Clear Skin,Green tea,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 19,Lunch,Lentil Soup,455,23.7,47.8,24.5,Yoga,Weight Gain focused training,Reduce Pimples,Beetroot juice,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 3,Breakfast,Dal & Rice,620,27.6,86.8,21.4,Cardio,Weight Maintain focused training,Clear Skin,Turmeric milk,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 29,Dinner,Lentil Soup,748,39.8,32.4,21.5,HIIT,Weight Loss focused training,Glowing Skin,Amla juice,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 14,Snack,Chickpea Salad,490,41.9,78.9,6.9,Strength Training,Weight Maintain focused training,Hair Growth,Beetroot juice,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 16,Snack,Chickpea Salad,725,19.6,75.2,15.7,Cardio,Weight Maintain focused training,Hair Growth,Warm lemon water,Leafy greens,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 7,Snack,Dal & Rice,750,29.7,26.3,29.2,Yoga,Weight Maintain focused training,Anti-Aging,Turmeric milk,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 11,Breakfast,Lentil Soup,727,16.3,35.9,21.5,Stretching,Weight Gain focused training,Glowing Skin,Warm lemon water,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 5,Lunch,Quinoa Salad,353,36.5,46.5,14.4,Strength Training,Weight Gain focused training,Fresh Blood Circulation,Warm lemon water,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 8,Dinner,Egg Omelette,570,22.6,87.3,29.9,HIIT,Weight Maintain focused training,Anti-Aging,Beetroot juice,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 18,Breakfast,Paneer Bowl,313,36,45.8,16.7,Cardio,Weight Loss focused training,Fresh Blood Circulation,Amla juice,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 16,Lunch,Oats & Fruits,358,35,72.7,27.3,Cardio,Weight Gain focused training,Reduce Pimples,Beetroot juice,Citrus fruits,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 26,Breakfast,Vegan Smoothie,251,27.3,83.1,16.6,Strength Training,Weight Gain focused training,Clear Skin,Amla juice,Leafy greens,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Hybrid,Day 28,Dinner,Chicken Rice,429,20.5,76.5,16.6,Stretching,Weight Maintain focused training,Clear Skin,Turmeric milk,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 18,Lunch,Dal & Rice,706,22.1,65.5,28.7,HIIT,Weight Gain focused training,Hair Growth,Coconut water,Omega-3 rich foods,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 24,Breakfast,Tofu Stir Fry,616,29.7,83.9,9.5,Strength Training,Weight Loss focused training,Fresh Blood Circulation,Warm lemon water,Leafy greens,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 22,Dinner,Vegan Smoothie,400,37,52.7,6,Stretching,Weight Maintain focused training,Fresh Blood Circulation,Amla juice,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 2,Lunch,Tofu Stir Fry,589,19.1,65.1,6.3,Cardio,Weight Loss focused training,Reduce Pimples,Amla juice,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 22,Breakfast,Paneer Bowl,557,20.6,71.7,22.9,Stretching,Weight Loss focused training,Anti-Aging,Turmeric milk,Omega-3 rich foods,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 8,Breakfast,Egg Omelette,680,33.5,78.9,25.5,Cardio,Weight Maintain focused training,Anti-Aging,Amla juice,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 26,Breakfast,Fish Curry,304,35.2,23.9,7.8,Cardio,Weight Loss focused training,Clear Skin,Amla juice,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 2,Snack,Oats & Fruits,738,14.8,22,25,Cardio,Weight Loss focused training,Reduce Pimples,Carrot juice,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 18,Dinner,Quinoa Salad,263,31.2,80.9,18.5,Stretching,Weight Gain focused training,Fresh Blood Circulation,Coconut water,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 14,Snack,Veg Khichdi,509,42.7,87,21.6,HIIT,Weight Gain focused training,Clear Skin,Turmeric milk,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 21,Lunch,Chicken Rice,397,15.3,48.6,20.7,Yoga,Weight Gain focused training,Glowing Skin,Carrot juice,Citrus fruits,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 19,Breakfast,Grilled Chicken Salad,448,18.7,48.8,10.4,Strength Training,Weight Loss focused training,Reduce Pimples,Turmeric milk,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 29,Snack,Grilled Chicken Salad,267,22.3,48.8,9.3,Yoga,Weight Loss focused training,Fresh Blood Circulation,Green tea,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 29,Snack,Chickpea Salad,581,15.4,74.3,20.8,Strength Training,Weight Maintain focused training,Clear Skin,Green tea,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 13,Snack,Chickpea Salad,464,14,29,20.2,Cardio,Weight Loss focused training,Fresh Blood Circulation,Coconut water,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 8,Dinner,Chicken Rice,430,42.6,21.6,17.3,Cardio,Weight Loss focused training,Hair Growth,Turmeric milk,Leafy greens,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 2,Breakfast,Lentil Soup,373,41.4,46,7.2,Cardio,Weight Maintain focused training,Anti-Aging,Beetroot juice,Omega-3 rich foods,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 13,Lunch,Chickpea Salad,345,25.5,78.6,16.5,Stretching,Weight Loss focused training,Fresh Blood Circulation,Amla juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 12,Snack,Fish Curry,679,15.6,57.2,20.7,HIIT,Weight Gain focused training,Anti-Aging,Warm lemon water,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 21,Dinner,Vegan Smoothie,516,22.7,25.3,16,Stretching,Weight Gain focused training,Reduce Pimples,Warm lemon water,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 28,Snack,Egg Omelette,386,11.2,65,22.5,Strength Training,Weight Maintain focused training,Reduce Pimples,Amla juice,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 30,Snack,Tofu Stir Fry,671,17.9,44.6,19.4,Cardio,Weight Loss focused training,Clear Skin,Coconut water,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 24,Breakfast,Lentil Soup,601,22,52.9,16.7,Yoga,Weight Loss focused training,Fresh Blood Circulation,Amla juice,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 20,Dinner,Chicken Rice,469,37.5,72,13.7,HIIT,Weight Loss focused training,Hair Growth,Carrot juice,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 15,Snack,Lentil Soup,341,43.3,55.5,26.8,Strength Training,Weight Gain focused training,Reduce Pimples,Beetroot juice,Omega-3 rich foods,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 4,Dinner,Egg Omelette,513,15.4,45.8,19.4,Strength Training,Weight Gain focused training,Clear Skin,Turmeric milk,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 17,Breakfast,Fish Curry,661,39.9,43.1,24.7,HIIT,Weight Loss focused training,Glowing Skin,Turmeric milk,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 6,Breakfast,Chickpea Salad,643,19.2,55,24.7,Cardio,Weight Gain focused training,Hair Growth,Turmeric milk,Leafy greens,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 5,Lunch,Veg Khichdi,542,24.6,48.9,19.7,Stretching,Weight Maintain focused training,Reduce Pimples,Turmeric milk,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 14,Dinner,Veg Khichdi,541,25.8,31.6,5.9,Stretching,Weight Loss focused training,Clear Skin,Carrot juice,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 6,Lunch,Lentil Soup,451,28.4,79.9,7.7,HIIT,Weight Maintain focused training,Clear Skin,Warm lemon water,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 9,Lunch,Egg Omelette,623,41.4,23.2,22.9,HIIT,Weight Loss focused training,Hair Growth,Green tea,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
